Word,Start Timecode,End Timecode,Speaker
the,00:00:28.97,00:00:29.06,""
watchful,00:00:29.09,00:00:29.51,""
eyes,00:00:29.51,00:00:29.78,""
of,00:00:29.78,00:00:29.90,""
the,00:00:29.90,00:00:30.02,""
verdant,00:00:30.02,00:00:30.44,""
Council.,00:00:30.44,00:00:31.07,""
They,00:00:31.10,00:00:31.43,""
dance,00:00:31.46,00:00:31.85,""
upon,00:00:31.85,00:00:32.09,""
the,00:00:32.09,00:00:32.18,""
knife's,00:00:32.18,00:00:32.51,""
edge,00:00:32.51,00:00:32.87,""
between,00:00:32.87,00:00:33.20,""
tradition,00:00:33.20,00:00:33.71,""
and,00:00:33.71,00:00:33.89,""
a,00:00:33.89,00:00:34.01,""
"wild,",00:00:34.01,00:00:34.43,""
insatiable,00:00:34.43,00:00:35.21,""
thirst,00:00:35.21,00:00:35.63,""
for,00:00:35.63,00:00:35.81,""
freedom.,00:00:35.81,00:00:36.50,""
Like,00:00:36.74,00:00:37.19,""
the,00:00:37.19,00:00:37.28,""
very,00:00:37.28,00:00:37.55,""
land,00:00:37.55,00:00:37.88,""
they,00:00:37.88,00:00:38.06,""
"protect,",00:00:38.06,00:00:38.69,""
the,00:00:38.72,00:00:39.05,""
brethren,00:00:39.05,00:00:39.47,""
are,00:00:39.47,00:00:39.65,""
a,00:00:39.65,00:00:39.74,""
paradox,00:00:39.74,00:00:40.55,""
"hospitable,",00:00:40.58,00:00:41.45,""
yet,00:00:41.45,00:00:41.72,""
"wary,",00:00:41.75,00:00:42.41,""
bound,00:00:42.41,00:00:42.95,""
by,00:00:42.95,00:00:43.19,""
ancient,00:00:43.19,00:00:43.67,""
"ways,",00:00:43.70,00:00:44.00,""
yet,00:00:44.00,00:00:44.21,""
yearning,00:00:44.24,00:00:44.60,""
for,00:00:44.60,00:00:44.75,""
the,00:00:44.75,00:00:44.87,""
"vast,",00:00:44.87,00:00:45.38,""
uncharted,00:00:45.41,00:00:46.10,""
expanse,00:00:46.10,00:00:46.70,""
of,00:00:46.70,00:00:46.82,""
the,00:00:46.82,00:00:46.94,""
world,00:00:46.94,00:00:47.68,""
in,00:00:47.69,00:00:48.11,""
the,00:00:48.11,00:00:48.23,""
heart,00:00:48.23,00:00:48.50,""
of,00:00:48.50,00:00:48.62,""
each,00:00:48.62,00:00:49.07,""
Brevin,00:00:49.07,00:00:49.61,""
beats,00:00:49.61,00:00:49.94,""
the,00:00:49.94,00:00:50.15,""
essence,00:00:50.15,00:00:50.63,""
of,00:00:50.63,00:00:50.78,""
Brevik,00:00:50.78,00:00:51.14,""
"himself,",00:00:51.14,00:00:51.97,""
etching,00:00:51.98,00:00:52.49,""
their,00:00:52.49,00:00:52.70,""
legacy,00:00:52.70,00:00:53.15,""
into,00:00:53.15,00:00:53.36,""
the,00:00:53.36,00:00:53.48,""
annals,00:00:53.51,00:00:53.87,""
of,00:00:53.87,00:00:54.02,""
history,00:00:54.02,00:00:54.44,""
as,00:00:54.44,00:00:54.56,""
a,00:00:54.56,00:00:54.65,""
tale,00:00:54.65,00:00:54.89,""
of,00:00:54.89,00:00:55.07,""
"grit,",00:00:55.07,00:00:55.61,""
glory,00:00:55.64,00:00:56.27,""
and,00:00:56.27,00:00:56.51,""
unyielding,00:00:56.51,00:00:57.20,""
search,00:00:57.20,00:00:57.56,""
for,00:00:57.56,00:00:57.74,""
power.,00:00:57.74,00:00:58.40,""
The,00:00:58.43,00:00:58.82,""
"brethren,",00:00:58.82,00:00:59.36,""
heirs,00:00:59.39,00:00:59.81,""
to,00:00:59.91,00:01:00.03,""
the,00:01:00.03,00:01:00.15,""
ancient,00:01:00.15,00:01:00.66,""
wisdom,00:01:00.66,00:01:01.02,""
of,00:01:01.02,00:01:01.11,""
their,00:01:01.14,00:01:01.35,""
forebears,00:01:01.35,00:01:02.16,""
are,00:01:02.19,00:01:02.46,""
warriors,00:01:02.46,00:01:02.91,""
born,00:01:02.91,00:01:03.24,""
and,00:01:03.24,00:01:03.36,""
bred,00:01:03.36,00:01:03.99,""
in,00:01:04.11,00:01:04.56,""
times,00:01:04.56,00:01:04.92,""
long,00:01:04.92,00:01:05.19,""
past.,00:01:05.19,00:01:05.67,""
They,00:01:05.70,00:01:05.94,""
had,00:01:05.94,00:01:06.09,""
stood,00:01:06.09,00:01:06.36,""
guard,00:01:06.36,00:01:06.69,""
over,00:01:06.69,00:01:06.90,""
the,00:01:06.90,00:01:07.02,""
Under,00:01:07.02,00:01:07.29,""
Kingdom,00:01:07.29,00:01:07.62,""
of,00:01:07.62,00:01:07.74,""
Kashgaria,00:01:07.76,00:01:08.22,""
in,00:01:08.43,00:01:08.76,""
steadfast,00:01:08.76,00:01:09.36,""
alliance,00:01:09.36,00:01:09.81,""
with,00:01:09.81,00:01:09.96,""
the,00:01:09.96,00:01:10.08,""
"dwarves,",00:01:10.08,00:01:10.77,""
weathering,00:01:10.77,00:01:11.34,""
countless,00:01:11.34,00:01:11.85,""
battles,00:01:11.85,00:01:12.36,""
and,00:01:12.36,00:01:12.57,""
strife,00:01:12.57,00:01:13.32,""
from,00:01:13.50,00:01:13.95,""
their,00:01:13.95,00:01:14.16,""
earliest,00:01:14.16,00:01:14.67,""
days.,00:01:14.67,00:01:15.09,""
The,00:01:15.09,00:01:15.21,""
brethren,00:01:15.21,00:01:15.60,""
are,00:01:15.60,00:01:15.69,""
schooled,00:01:15.69,00:01:16.11,""
in,00:01:16.11,00:01:16.26,""
the,00:01:16.26,00:01:16.35,""
harsh,00:01:16.35,00:01:16.71,""
realities,00:01:16.71,00:01:17.22,""
of,00:01:17.22,00:01:17.34,""
the,00:01:17.34,00:01:17.43,""
world,00:01:17.43,00:01:18.03,""
and,00:01:18.03,00:01:18.30,""
the,00:01:18.30,00:01:18.42,""
insatiable,00:01:18.42,00:01:19.08,""
greed,00:01:19.08,00:01:19.50,""
of,00:01:19.50,00:01:19.59,""
their,00:01:19.62,00:01:19.80,""
mortal,00:01:19.80,00:01:20.25,""
neighbors.,00:01:20.25,00:01:21.00,""
Their,00:01:21.12,00:01:21.66,""
stoic,00:01:21.66,00:01:22.02,""
outlook,00:01:22.05,00:01:22.47,""
on,00:01:22.47,00:01:22.65,""
life,00:01:22.65,00:01:23.01,""
dictates,00:01:23.01,00:01:23.55,""
that,00:01:23.55,00:01:23.73,""
only,00:01:23.73,00:01:24.00,""
the,00:01:24.00,00:01:24.18,""
strongest,00:01:24.18,00:01:24.84,""
may,00:01:24.87,00:01:25.11,""
endure,00:01:25.11,00:01:25.74,""
for,00:01:25.74,00:01:26.01,""
the,00:01:26.01,00:01:26.13,""
world,00:01:26.13,00:01:26.46,""
consumes,00:01:26.46,00:01:27.18,""
the,00:01:27.18,00:01:27.30,""
meek,00:01:27.33,00:01:27.78,""
like,00:01:27.78,00:01:28.20,""
kindling.,00:01:28.20,00:01:28.95,""
They,00:01:28.98,00:01:29.31,""
are,00:01:29.31,00:01:29.43,""
ever,00:01:29.43,00:01:29.64,""
vigilant,00:01:29.64,00:01:30.24,""
for,00:01:30.24,00:01:30.54,""
to,00:01:30.54,00:01:30.66,""
let,00:01:30.66,00:01:30.84,""
down,00:01:30.84,00:01:31.08,""
their,00:01:31.08,00:01:31.26,""
guard,00:01:31.26,00:01:31.59,""
for,00:01:31.59,00:01:31.71,""
even,00:01:31.71,00:01:31.89,""
a,00:01:31.89,00:01:31.95,""
moment,00:01:31.95,00:01:32.31,""
is,00:01:32.31,00:01:32.43,""
to,00:01:32.43,00:01:32.55,""
invite,00:01:32.55,00:01:32.91,""
defeat,00:01:32.91,00:01:33.42,""
and,00:01:33.42,00:01:33.69,""
utter,00:01:33.69,00:01:34.05,""
ruin.,00:01:34.05,00:01:34.83,""
Warriors,00:01:35.16,00:01:36.06,""
at,00:01:36.06,00:01:36.33,""
heart.,00:01:36.33,00:01:37.05,""
This,00:01:37.73,00:01:38.18,""
extreme,00:01:38.18,00:01:38.72,""
fear,00:01:38.72,00:01:38.96,""
of,00:01:38.96,00:01:39.08,""
weakness,00:01:39.08,00:01:39.47,""
has,00:01:39.47,00:01:39.62,""
led,00:01:39.62,00:01:39.80,""
to,00:01:39.80,00:01:39.92,""
every,00:01:39.92,00:01:40.22,""
Brevin,00:01:40.22,00:01:40.64,""
male,00:01:40.64,00:01:40.97,""
or,00:01:40.97,00:01:41.15,""
"female,",00:01:41.15,00:01:41.63,""
no,00:01:41.63,00:01:41.75,""
matter,00:01:41.75,00:01:41.99,""
how,00:01:41.99,00:01:42.17,""
"young,",00:01:42.20,00:01:42.68,""
being,00:01:42.71,00:01:43.25,""
instructed,00:01:43.25,00:01:43.79,""
to,00:01:43.79,00:01:43.94,""
fight,00:01:43.94,00:01:44.24,""
and,00:01:44.24,00:01:44.39,""
bear,00:01:44.39,00:01:44.69,""
arms,00:01:44.69,00:01:45.26,""
for,00:01:45.26,00:01:45.53,""
the,00:01:45.53,00:01:45.65,""
day,00:01:45.65,00:01:45.86,""
that,00:01:45.86,00:01:46.04,""
they,00:01:46.04,00:01:46.28,""
must,00:01:46.28,00:01:46.52,""
do,00:01:46.52,00:01:46.73,""
so,00:01:46.73,00:01:47.06,""
is,00:01:47.06,00:01:47.30,""
never,00:01:47.30,00:01:47.63,""
far,00:01:47.63,00:01:47.93,""
off.,00:01:47.93,00:01:48.62,""
This,00:01:48.74,00:01:49.22,""
makes,00:01:49.22,00:01:49.46,""
the,00:01:49.46,00:01:49.58,""
average,00:01:49.58,00:01:49.97,""
Brevin,00:01:49.97,00:01:50.36,""
quite,00:01:50.36,00:01:50.72,""
"brawny,",00:01:50.72,00:01:51.23,""
as,00:01:51.26,00:01:51.47,""
every,00:01:51.47,00:01:51.77,""
able,00:01:51.80,00:01:52.13,""
bodied,00:01:52.13,00:01:52.49,""
individual,00:01:52.49,00:01:52.97,""
has,00:01:53.00,00:01:53.21,""
been,00:01:53.21,00:01:53.36,""
drilled,00:01:53.36,00:01:53.66,""
into,00:01:53.66,00:01:53.87,""
the,00:01:53.87,00:01:53.99,""
life,00:01:53.99,00:01:54.23,""
of,00:01:54.23,00:01:54.35,""
a,00:01:54.35,00:01:54.44,""
"soldier,",00:01:54.44,00:01:54.95,""
be,00:01:54.98,00:01:55.22,""
they,00:01:55.22,00:01:55.37,""
"farmer,",00:01:55.40,00:01:55.91,""
"druid,",00:01:55.94,00:01:56.51,""
hunter,00:01:56.54,00:01:56.99,""
or,00:01:56.99,00:01:57.23,""
carpenter.,00:01:57.23,00:01:57.98,""
They,00:01:58.01,00:01:58.40,""
feel,00:01:58.40,00:01:58.61,""
they,00:01:58.61,00:01:58.73,""
must,00:01:58.73,00:01:58.94,""
remain,00:01:58.94,00:01:59.45,""
strong,00:01:59.45,00:02:00.14,""
in,00:02:00.14,00:02:00.32,""
order,00:02:00.32,00:02:00.59,""
to,00:02:00.59,00:02:00.68,""
protect,00:02:00.68,00:02:01.04,""
their,00:02:01.04,00:02:01.22,""
freedom,00:02:01.22,00:02:01.82,""
and,00:02:01.82,00:02:02.18,""
the,00:02:02.18,00:02:02.27,""
land,00:02:02.27,00:02:02.66,""
of,00:02:02.66,00:02:02.75,""
their,00:02:02.78,00:02:02.99,""
kin.,00:02:02.99,00:02:03.74,""
Freedom,00:02:05.88,00:02:06.75,""
and,00:02:06.75,00:02:07.14,""
honor.,00:02:07.17,00:02:07.74,""
The,00:02:08.99,00:02:09.26,""
history,00:02:09.26,00:02:09.62,""
of,00:02:09.62,00:02:09.74,""
their,00:02:09.74,00:02:09.98,""
wars,00:02:09.98,00:02:10.25,""
against,00:02:10.28,00:02:10.61,""
Sicilia,00:02:10.64,00:02:11.03,""
has,00:02:11.03,00:02:11.27,""
ingrained,00:02:11.27,00:02:11.75,""
into,00:02:11.75,00:02:11.96,""
their,00:02:11.96,00:02:12.14,""
beliefs,00:02:12.14,00:02:12.56,""
in,00:02:12.56,00:02:12.68,""
the,00:02:12.68,00:02:12.77,""
form,00:02:12.77,00:02:13.04,""
of,00:02:13.04,00:02:13.16,""
freedom.,00:02:13.16,00:02:13.87,""
The,00:02:13.88,00:02:14.21,""
Brevin,00:02:14.21,00:02:14.63,""
believe,00:02:14.63,00:02:14.99,""
that,00:02:14.99,00:02:15.14,""
all,00:02:15.14,00:02:15.59,""
should,00:02:15.59,00:02:15.86,""
be,00:02:15.86,00:02:16.01,""
"free,",00:02:16.01,00:02:16.61,""
whether,00:02:16.61,00:02:17.03,""
it,00:02:17.03,00:02:17.18,""
be,00:02:17.18,00:02:17.33,""
man,00:02:17.33,00:02:17.84,""
or,00:02:17.84,00:02:18.17,""
beast.,00:02:18.17,00:02:19.01,""
Men,00:02:19.04,00:02:19.52,""
and,00:02:19.52,00:02:19.67,""
women,00:02:19.67,00:02:19.97,""
in,00:02:19.97,00:02:20.09,""
chains,00:02:20.09,00:02:20.48,""
are,00:02:20.48,00:02:20.60,""
morally,00:02:20.60,00:02:21.08,""
"unjust,",00:02:21.08,00:02:22.04,""
and,00:02:22.04,00:02:22.34,""
all,00:02:22.34,00:02:22.61,""
steps,00:02:22.61,00:02:23.03,""
should,00:02:23.03,00:02:23.27,""
be,00:02:23.27,00:02:23.39,""
taken,00:02:23.39,00:02:23.69,""
to,00:02:23.69,00:02:23.78,""
combat,00:02:23.78,00:02:24.17,""
those,00:02:24.17,00:02:24.50,""
who,00:02:24.50,00:02:24.65,""
enslave,00:02:24.65,00:02:25.10,""
others,00:02:25.13,00:02:25.75,""
for,00:02:25.76,00:02:26.06,""
such,00:02:26.06,00:02:26.30,""
is,00:02:26.33,00:02:26.45,""
the,00:02:26.45,00:02:26.57,""
purpose,00:02:26.57,00:02:26.99,""
of,00:02:26.99,00:02:27.11,""
the,00:02:27.11,00:02:27.23,""
Brevin,00:02:27.23,00:02:27.65,""
people,00:02:27.65,00:02:28.01,""
in,00:02:28.01,00:02:28.13,""
this,00:02:28.13,00:02:28.31,""
world.,00:02:28.31,00:02:28.88,""
They,00:02:28.91,00:02:29.30,""
take,00:02:29.30,00:02:29.51,""
great,00:02:29.51,00:02:29.78,""
honor,00:02:29.78,00:02:30.08,""
in,00:02:30.08,00:02:30.20,""
all,00:02:30.20,00:02:30.41,""
that,00:02:30.41,00:02:30.56,""
they,00:02:30.56,00:02:30.71,""
do,00:02:30.71,00:02:31.22,""
as,00:02:31.25,00:02:31.55,""
their,00:02:31.58,00:02:31.79,""
purpose,00:02:31.79,00:02:32.24,""
is,00:02:32.24,00:02:32.39,""
a,00:02:32.39,00:02:32.48,""
higher,00:02:32.48,00:02:32.78,""
"one,",00:02:32.78,00:02:33.08,""
tied,00:02:33.08,00:02:33.44,""
to,00:02:33.44,00:02:33.56,""
the,00:02:33.56,00:02:33.68,""
well-being,00:02:33.68,00:02:34.19,""
of,00:02:34.19,00:02:34.31,""
the,00:02:34.31,00:02:34.40,""
planet,00:02:34.40,00:02:34.97,""
given,00:02:34.97,00:02:35.42,""
to,00:02:35.42,00:02:35.60,""
them,00:02:35.60,00:02:35.78,""
at,00:02:35.78,00:02:35.87,""
the,00:02:35.87,00:02:36.02,""
advent,00:02:36.02,00:02:36.41,""
of,00:02:36.41,00:02:36.50,""
their,00:02:36.53,00:02:36.77,""
people,00:02:36.77,00:02:37.16,""
by,00:02:37.19,00:02:37.43,""
Brevik,00:02:37.43,00:02:37.82,""
himself.,00:02:37.82,00:02:38.69,""
The,00:02:38.93,00:02:39.29,""
Verdant,00:02:39.29,00:02:39.68,""
Council.,00:02:39.68,00:02:40.40,""
Their,00:02:40.52,00:02:41.00,""
political,00:02:41.00,00:02:41.39,""
system,00:02:41.39,00:02:41.72,""
reflects,00:02:41.72,00:02:42.17,""
this,00:02:42.17,00:02:42.56,""
as,00:02:42.56,00:02:42.98,""
rather,00:02:42.98,00:02:43.28,""
than,00:02:43.28,00:02:43.43,""
being,00:02:43.46,00:02:43.73,""
ruled,00:02:43.73,00:02:44.03,""
by,00:02:44.03,00:02:44.21,""
a,00:02:44.21,00:02:44.30,""
single,00:02:44.30,00:02:44.66,""
"king,",00:02:44.66,00:02:45.23,""
the,00:02:45.26,00:02:45.56,""
Brevin,00:02:45.56,00:02:45.98,""
are,00:02:45.98,00:02:46.16,""
ruled,00:02:46.16,00:02:46.43,""
by,00:02:46.43,00:02:46.64,""
a,00:02:46.64,00:02:46.73,""
council,00:02:46.73,00:02:47.12,""
of,00:02:47.12,00:02:47.24,""
chiefs,00:02:47.24,00:02:47.60,""
which,00:02:47.60,00:02:47.84,""
sit,00:02:47.84,00:02:47.99,""
upon,00:02:47.99,00:02:48.26,""
the,00:02:48.26,00:02:48.35,""
verdant,00:02:48.35,00:02:48.71,""
"Council,",00:02:48.71,00:02:49.31,""
all,00:02:49.31,00:02:49.64,""
of,00:02:49.64,00:02:49.73,""
which,00:02:49.73,00:02:49.94,""
have,00:02:49.94,00:02:50.12,""
equal,00:02:50.12,00:02:50.48,""
"voice,",00:02:50.48,00:02:50.87,""
and,00:02:50.87,00:02:51.05,""
all,00:02:51.05,00:02:51.23,""
are,00:02:51.23,00:02:51.35,""
"druids,",00:02:51.35,00:02:51.98,""
which,00:02:51.98,00:02:52.34,""
is,00:02:52.34,00:02:52.49,""
a,00:02:52.49,00:02:52.55,""
requirement,00:02:52.55,00:02:53.03,""
to,00:02:53.03,00:02:53.15,""
be,00:02:53.15,00:02:53.27,""
a,00:02:53.27,00:02:53.33,""
chief,00:02:53.33,00:02:53.66,""
on,00:02:53.66,00:02:53.81,""
the,00:02:53.81,00:02:53.90,""
verdant,00:02:53.90,00:02:54.32,""
Council.,00:02:54.32,00:02:55.13,""
They,00:02:55.16,00:02:55.61,""
are,00:02:55.61,00:02:55.76,""
adamant,00:02:55.76,00:02:56.27,""
against,00:02:56.27,00:02:56.66,""
being,00:02:56.66,00:02:56.93,""
ruled,00:02:56.93,00:02:57.32,""
as,00:02:57.32,00:02:57.44,""
well,00:02:57.44,00:02:57.65,""
as,00:02:57.65,00:02:57.80,""
others,00:02:57.80,00:02:58.25,""
who,00:02:58.25,00:02:58.43,""
allow,00:02:58.43,00:02:58.70,""
themselves,00:02:58.70,00:02:59.21,""
to,00:02:59.21,00:02:59.30,""
be,00:02:59.30,00:02:59.42,""
"ruled,",00:02:59.42,00:02:59.96,""
thinking,00:02:59.96,00:03:00.44,""
them,00:03:00.44,00:03:00.62,""
to,00:03:00.62,00:03:00.71,""
be,00:03:00.71,00:03:00.89,""
ignorant,00:03:00.89,00:03:01.37,""
of,00:03:01.37,00:03:01.46,""
their,00:03:01.49,00:03:01.73,""
fate,00:03:01.73,00:03:02.09,""
and,00:03:02.09,00:03:02.33,""
pitied,00:03:02.33,00:03:02.90,""
going,00:03:02.90,00:03:03.32,""
against,00:03:03.35,00:03:03.71,""
the,00:03:03.71,00:03:03.83,""
natural,00:03:03.83,00:03:04.28,""
order,00:03:04.28,00:03:04.70,""
of,00:03:04.70,00:03:04.79,""
things.,00:03:04.79,00:03:05.29,""
These,00:03:05.30,00:03:05.75,""
values,00:03:05.75,00:03:06.20,""
apply,00:03:06.20,00:03:06.53,""
to,00:03:06.53,00:03:06.65,""
the,00:03:06.65,00:03:06.74,""
nobility,00:03:06.74,00:03:07.25,""
as,00:03:07.25,00:03:07.40,""
well,00:03:07.40,00:03:07.85,""
as,00:03:07.85,00:03:08.18,""
Brevin.,00:03:08.18,00:03:08.60,""
People,00:03:08.70,00:03:09.09,""
despise,00:03:09.09,00:03:09.75,""
social,00:03:09.75,00:03:10.23,""
ruling,00:03:10.23,00:03:10.59,""
as,00:03:10.59,00:03:10.74,""
much,00:03:10.74,00:03:10.95,""
as,00:03:10.95,00:03:11.07,""
governmental,00:03:11.07,00:03:11.79,""
power.,00:03:11.79,00:03:12.45,""
Their,00:03:12.60,00:03:13.14,""
staunch,00:03:13.14,00:03:13.53,""
aversion,00:03:13.56,00:03:14.01,""
to,00:03:14.01,00:03:14.13,""
social,00:03:14.13,00:03:14.52,""
class,00:03:14.52,00:03:14.91,""
barriers,00:03:14.91,00:03:15.42,""
has,00:03:15.42,00:03:15.75,""
led,00:03:15.75,00:03:15.96,""
to,00:03:15.96,00:03:16.08,""
a,00:03:16.08,00:03:16.17,""
very,00:03:16.17,00:03:16.53,""
egalitarian,00:03:16.53,00:03:17.46,""
culture,00:03:17.46,00:03:18.15,""
and,00:03:18.15,00:03:18.45,""
a,00:03:18.45,00:03:18.54,""
culture,00:03:18.54,00:03:18.87,""
that,00:03:18.87,00:03:19.02,""
greatly,00:03:19.02,00:03:19.56,""
values,00:03:19.56,00:03:20.04,""
individual,00:03:20.04,00:03:20.73,""
autonomy,00:03:20.73,00:03:21.33,""
and,00:03:21.33,00:03:21.54,""
freedom.,00:03:21.54,00:03:22.32,""
"This,",00:03:22.62,00:03:23.40,""
ironically,00:03:23.40,00:03:24.03,""
to,00:03:24.03,00:03:24.18,""
"outsiders,",00:03:24.18,00:03:24.87,""
makes,00:03:24.87,00:03:25.35,""
Brevin,00:03:25.35,00:03:25.74,""
both,00:03:25.74,00:03:25.98,""
a,00:03:25.98,00:03:26.07,""
very,00:03:26.07,00:03:26.28,""
controlling,00:03:26.28,00:03:26.91,""
people,00:03:26.91,00:03:27.30,""
in,00:03:27.30,00:03:27.39,""
their,00:03:27.42,00:03:27.63,""
endeavor,00:03:27.63,00:03:27.99,""
to,00:03:27.99,00:03:28.17,""
ensure,00:03:28.17,00:03:28.65,""
freedom,00:03:28.65,00:03:29.40,""
with,00:03:29.67,00:03:30.15,""
their,00:03:30.15,00:03:30.33,""
freedom,00:03:30.33,00:03:30.75,""
to,00:03:30.75,00:03:30.87,""
wander,00:03:30.87,00:03:31.38,""
and,00:03:31.38,00:03:31.56,""
explore,00:03:31.56,00:03:31.98,""
the,00:03:32.01,00:03:32.13,""
world,00:03:32.13,00:03:32.79,""
expressive,00:03:32.79,00:03:33.51,""
art,00:03:33.51,00:03:33.81,""
and,00:03:33.81,00:03:33.99,""
clothes.,00:03:33.99,00:03:34.67,""
Brevin,00:03:34.68,00:03:35.28,""
culture,00:03:35.28,00:03:35.70,""
is,00:03:35.70,00:03:35.82,""
very,00:03:35.82,00:03:36.09,""
strict,00:03:36.09,00:03:36.48,""
on,00:03:36.48,00:03:36.66,""
their,00:03:36.66,00:03:36.87,""
people,00:03:36.87,00:03:37.32,""
staying,00:03:37.32,00:03:37.68,""
within,00:03:37.68,00:03:38.04,""
this,00:03:38.04,00:03:38.31,""
defined,00:03:38.31,00:03:39.06,""
freedom.,00:03:39.06,00:03:39.92,""
Those,00:03:39.93,00:03:40.44,""
who,00:03:40.44,00:03:40.59,""
step,00:03:40.59,00:03:40.83,""
outside,00:03:40.83,00:03:41.19,""
of,00:03:41.19,00:03:41.31,""
these,00:03:41.31,00:03:41.49,""
traditions,00:03:41.49,00:03:42.03,""
are,00:03:42.03,00:03:42.12,""
reprimanded,00:03:42.12,00:03:42.81,""
in,00:03:42.81,00:03:42.96,""
various,00:03:42.96,00:03:43.38,""
fashions,00:03:43.38,00:03:44.01,""
with,00:03:44.01,00:03:44.34,""
the,00:03:44.34,00:03:44.43,""
highest,00:03:44.43,00:03:44.82,""
form,00:03:44.82,00:03:45.09,""
of,00:03:45.09,00:03:45.21,""
punishment,00:03:45.21,00:03:45.72,""
being,00:03:45.72,00:03:45.99,""
"felled,",00:03:46.02,00:03:46.62,""
a,00:03:46.65,00:03:46.89,""
form,00:03:46.89,00:03:47.13,""
of,00:03:47.13,00:03:47.28,""
exile,00:03:47.28,00:03:47.79,""
dictated,00:03:47.79,00:03:48.30,""
from,00:03:48.30,00:03:48.51,""
the,00:03:48.51,00:03:48.60,""
verdant,00:03:48.60,00:03:49.11,""
council,00:03:49.11,00:03:49.56,""
themselves.,00:03:49.56,00:03:50.49,""
Brevin,00:03:50.73,00:03:51.45,""
are,00:03:51.45,00:03:51.69,""
a,00:03:51.69,00:03:51.78,""
strange,00:03:51.78,00:03:52.20,""
concoction,00:03:52.20,00:03:52.77,""
of,00:03:52.77,00:03:52.86,""
equal,00:03:52.86,00:03:53.19,""
"parts,",00:03:53.19,00:03:53.55,""
mistrusting,00:03:53.55,00:03:54.21,""
and,00:03:54.21,00:03:54.36,""
prone,00:03:54.36,00:03:54.66,""
to,00:03:54.66,00:03:54.78,""
xenophobia,00:03:54.78,00:03:55.65,""
and,00:03:55.65,00:03:55.98,""
yet,00:03:55.98,00:03:56.19,""
welcoming,00:03:56.22,00:03:57.09,""
their,00:03:57.12,00:03:57.60,""
history,00:03:57.60,00:03:57.96,""
of,00:03:57.96,00:03:58.11,""
unwilling,00:03:58.11,00:03:58.53,""
defensive,00:03:58.53,00:03:59.07,""
